id,langpair,source,hyp1,hyp2,type,label,pred_label
0,de-en,In der Phase marschieren Wanderameisen bei Nacht und machen tagsüber Rast.,"In the phase, wandering ants march at night and rest during the day.","In the nomadic phase, wandering ants march at night and rest during the day.",addition,hyp2,hyp2
1,de-en,"Nachdem sich der Frontsänger Steven Tyler während eines Auftrittes am 5. August bei einem Sturz von der Bühne verletzte, haben sie die Tour abgebrochen.","After front singer Steven Tyler injured himself in a fall from the stage during a performance on December 5, they canceled the tour.","After front singer Steven Tyler injured himself in a fall from the stage during a performance on Aug. 5, they canceled the tour.",date,hyp1,hyp1
2,de-en,Der Wirtschaftsprüfer hat die Entwicklerin beim Schummeln erwischt.,The auditor caught the male developer cheating.,The auditor caught the female developer cheating.,gender,hyp1,hyp2
3,de-en,Er wurde in aufeinanderfolgenden Coups durch Olusegun Obasanjo (1975) und Murtala Mohammed (1976) ersetzt.,He was replaced in successive coups by Olusegun Obasanjo (1975) and Murtalea Mohammed (1976).,He was replaced by Olusegun Obasanjo (in 1975) and Murtala Mohammed (in 1976) in successive coups.,named-entity,hyp1,hyp1
4,de-en,Der NVIDIA TITAN V wurde von Nvidia am 7. Dezember 2017 offiziell angekündigt.,"On December 7, 2017 NVIDIA officially announced the Nvidia TITAN V.","The NVIDIA TITAN V was officially announced by Nvidia on December 7, 92017.",number,hyp2,hyp2
5,de-en,"Eine Kavallerie ist eine Truppe, die zu Pferde kämpft. Da der Sattel noch nicht erfunden war, kämpfte die assyrische Kavallerie vom bloßen Rücken ihrer Pferde aus.","A cavalry is a troop that fights on horses.Since the seat was not yet invented, the Assyrian cavalry fought from the bare back of their horses.","A cavalry is a troop that fights on horses.Since the saddle was not yet invented, the Assyrian cavalry fought from the bare back of their horses.",natural,hyp1,hyp1
6,de-en,Das Zentrum des Erdbebens befand sich etwa 20 km (15 Meilen) nordnordöstlich von Dillon und etwa 65 km (40 Meilen) südlich von Butte.,The center of the earthquake was about 20 km northeast of Dillon and about 65 metres south of Butte.,The center of the earthquake was about 20 km northeast of Dillon and about 65000 metres south of Butte.,conversion,hyp1,hyp2
7,de-en,"Es gab auch 58 Verbindungsflugzeuge, von denen 20 nur für Boten eingesetzt wurden.",There were also 58 liaison aircraft but 20 of these were only used for messengers.,There were also 58 liaison aircraft but 20 of these were not only used for messengers.,negation,hyp2,hyp2
8,de-en,"Behälterglas hat einen höheren Gehalt an Magnesiumoxid und Natriumoxid als Flachglas und einen geringeren Gehalt an Kieselsäure, Calciumoxid und Aluminiumoxid.","Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica, calcium oxide and aluminum oxide.","Container glass had a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica, calcium oxide and aluminum oxide.",tense,hyp2,hyp2
9,de-en,Kathy und ihr Ehemann Pete Beale (Peter Dean) sind finanziell gut aufgestellt.,Kathy and her husband Peter Dean (Pete Beale) are financially stable.,Kathy and her wife Pete Beale (Peter Dean) are stable financially.,antonym,hyp2,hyp2
