id,source,type,hyp1,hyp2,label,prediction
0,"The population has declined in some 210 of the 280 municipalities in Sweden, mainly in inland central and northern Sweden.",antonym,"In the majority of Sweden's 280 municipalities, the population has gone up.","In the majority of Sweden's 280 municipalities, the population has gone down.",hyp1,hyp1
1,The draft agenda as drawn up by the Conference of Presidents pursuant to Rule 95 of the Rules of Procedure has been distributed.,negation,The Conference of Presidents hasn't distributed the draft agenda.,The Conference of Presidents has distributed the draft agenda.,hyp1,hyp1
2,"I am always grateful for comments and suggestions from the floor, because I believe I need to take everyone's views into account to be an effective President.",antonym,I think I need to listen to everyone's views in order to be an ineffective President.,I think I need to listen to everyone's views in order to be an effective President.,hyp1,hyp1
3,The fact is that a key omission from the proposals on agricultural policy in Agenda 2000 is a chapter on renewable energy.,named entity,Agenda 2030 does not include a chapter on renewable energy.,Agenda 2000 does not include a chapter on renewable energy.,hyp1,hyp2
4,"We need quite specific legislative proposals, including proposals based on Articles 13 and 137 of the Treaty of Amsterdam.",natural,Legislative proposals based on the Treaty of Amsterdam are needed.,Legislative proposals based solely on the Treaty of Amsterdam are needed.,hyp2,hyp2
5,"This state of affairs has not changed in more than 100 years, but hopefully at some stage - and perhaps soon - change will come.",addition,"There has been no change in the status quo in over 100 years, but there is hope that change will soon come. ",The state of affairs is1-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-65561-6556,hyp2,hyp2
6,"Madam President, I am speaking on behalf of our colleague, Mr Francis Decourrière, who drafted one of the motions for a resolution.",gender,One of the motions for a resolution was drafted by Mr Francis Decourrière.,One of the motions for a resolution was drafted by Mrs Francis Decourrière.,hyp2,hyp2
7,Amendment No 1 in the French version deletes illegal immigration and Amendment No 4 omits the expression 'police authorities'.,natural,The French version excludes the expression'police authorities'.,The French version excludes the expression 'police authorities' from Amendment No 4.,hyp1,hyp2
8,The European Commission proposes that this information should enter into force within a period of three years from 1 July 1998.,number,The EU wants this information to enter into force in three years.,The EU wants this information to enter into force in thirty years.,hyp2,hyp2
9,"Mr President, I did prepare a speech but I have left it aside because many of my points have already been excellently made by previous speakers.",pronoun,"Many of the points they were going to make in their speech were already made by previous speakers, so they left it aside.","Many of the points I was going to make in my speech were already made by previous speakers, so I left it aside.",hyp1,hyp2
10,We have done so: on 5 February we published an extremely detailed press release dealing with the questions you have raised.,pronoun,We published a press release that dealt with the questions we raised.,We published a press release that dealt with the questions you raised.,hyp1,hyp2
11,"Furthermore, we are currently thinking of organising economic discussions in Brussels, in the form of study days, in which this House would be involved.",addition,Studying days in which this House would be involved is one of the things we are thinking of doing.,Studying days and months in which this House would be involved is one of the things we are thinking of doing.,hyp2,hyp2
12,"In addition to these losses, there were also significant losses in terms of infrastructures, totalling approximately EUR 15 million.",conversion,There were losses in the amount of approximately 15 million dollars.,There were infrastructure-related losses in the amount of approximately 15 million euros.,hyp1,hyp2
13,There would be a dual ceiling: either the application of a 20 % rate of taxation on interest payments or the supply of information.,natural,It would be possible to apply a 20 % rate of taxation on interest payments or the supply of information,It would be possible to apply a 20 % rate of taxation on interest payments.,hyp2,hyp2
14,"This is a very important issue, because we have no other way of cleaning up our beaches, especially those on the North Sea and Baltic coasts.",named entity,There is no other way to clean up the beaches on the North Sea and Baltic coast.,There is no other way to clean up the beaches on the North Sea and  the Bothnian Bay coastline.,hyp2,hyp2
15,"In 1998, 1 700 000 net jobs were created in Europe, and although I admit that the employment situation is far from ideal, it has improved.",date,In 1700 there were 1 998 000 net jobs created in Europe.,In 1998 there were 1 700 000 net jobs created in Europe.,hyp1,hyp1